post_title,ID,post_excerpt,sku,stock,regular_price,sale_price,width,stock_status,images,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:op_product_notes,tax:styler_product_brands,attribute:pa_color,attribute_data:pa_color,attribute:pa_pattern,attribute_data:pa_pattern,attribute:pa_sizes,attribute_data:pa_sizes
"Bột giặt nhiệt Aba 380gr",6502,,A380,,17000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/a400g.jpg ! alt :  ! title : a400g ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt nhiệt Aba Nước Hoa 4kg",6503,,A4,,151000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Aba-NH-41kg.webp ! alt :  ! title : Aba NH 4,1kg ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt nhiệt Aba 4,3 kg",6504,,A43,,151000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Aba-45-kg.webp ! alt :  ! title : Aba 4,5 kg ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt nhiệt Aba Junco 5,3 kg",6505,,A53,,201000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Aba-55-kg-1.jpg ! alt :  ! title : Aba 5,5 kg ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt nhiệt Aba 5.7kg",6506,,A57,,201000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Aba-6kg.jpg ! alt :  ! title : Aba 6kg ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt nhiệt Aba Nước Hoa 700gr",6507,,A700,,33000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/a700-1.webp ! alt :  ! title : a700 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt nhiệt Aba 770gr",6508,,A770,,33000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/a770.jpg ! alt :  ! title : a770 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Aba Hồng 1.9kg",6509,,AN19H,,87000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/a19-hong.jpg ! alt :  ! title : a19 hong ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Aba Vàng 1.9kg",6510,"'- Mô tả sản phẩm
    Nước giặt Aba Junco Sạch tinh tươm - Nước giặt phù hợp cả giặt tay và giặt máy - Với khả năng phối hợp nhịp nhàng giữa những chất hoạt động bề mặt cho kết quả được mong muốn. Cùng sự tham gia của chất liệu sinh học làm tăng hiệu quả giặt tẩy. Khả năng pha loãng nhanh các chất hòa tan và phân tán tuyệt những cấu tử chức năng hữu hình cho các hệ quả kép đáp ứng tối đa tính năng thỏa dụng người tiêu dùng.",AN19V,,87000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/A1.9.jpg ! alt :  ! title : A1.9 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Aba Matic 2.75L Đỏ",6511,,AN27,,112000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/a27-do-2.jpg ! alt :  ! title : a27 đỏ ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Aba Matic 2.75L Xanh",6512,,AN271,,112000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/ab27-1.jpg ! alt :  ! title : ab27 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Aba Vàng 3.6kg",6513,,AN36,,146000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tui-nuoc-giat-Aba-Vang-3.6kg-1.jpg ! alt :  ! title : Túi nước giặt Aba Vàng 3.6kg ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Aba Hồng 3.6kg",6514,,AN36H,,146000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tui-nuoc-giat-Aba-Hong-3.6kg-1.jpg ! alt :  ! title : Túi nước giặt Aba Hồng 3.6kg ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt Binky 2kg",6515,,BK2,,50000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/bk2.jpg ! alt :  ! title : bk2 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Binky Hồng 2.3L",6516,,BK23,,71000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/bk23H.jpg ! alt :  ! title : bk23H ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Binky Xanh 2.3L",6517,,BK231,,71000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-giat-Binky-Xanh-2.3L.webp ! alt :  ! title : Nước giặt Binky Xanh 2.3L ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Binky 3.1L Hồng",6518,,BK311,,90000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/BK31H.jpg ! alt :  ! title : BK31H ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Binky 3.1L Xanh",6519,,BK312,,90000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/BK31x.jpg ! alt :  ! title : BK31x ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Binky 3.3kg Hồng",6520,,BK33H,,108000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/bk33H.jpg ! alt :  ! title : bk33H ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước giặt Binky 3.3kg Xanh",6521,,BK33X,,108000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/bk33x.jpg ! alt :  ! title : bk33x ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt Binky 4.3kg",6522,,BK43,,106000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/bk43.jpg ! alt :  ! title : bk43 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt Binky 520g",6523,,BK520,,14000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/bk520-1.jpg ! alt :  ! title : bk520 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/bk520.jpg ! alt :  ! title : bk520 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Bột giặt Binky 5.7kg",6524,,BK57,,136000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/bk57-1.jpg ! alt :  ! title : bk57 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/bk57.jpg ! alt :  ! title : bk57 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Kem Biona Nghệ",6525,,EBNGH,,14000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/kem-biona-nghe.jpg ! alt :  ! title : kem biona nghệ ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Kem bôi da Kentax 10%",6526,,EKEN,,9000,,,instock,,simple,,"Chăm sóc gia đình",,,,,,,,,,
"Keo lột E100 lớn",6527,,ELOT,,18000,,,instock,,simple,,"Chăm sóc gia đình",,,,,,,,,,
"Kem E100 Nghệ",6528,,EMUN,,14000,,,instock,,simple,,"Chăm sóc gia đình",,,,,,,,,,
"Kem bôi da Tomax",6529,,ETOM,,8000,,,instock,,simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước xả vải Junco 800ml Xanh Dương",6530,,JUNC82,,48000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-xa-vai-Junco-800ml-Xanh-Duong.jpg ! alt :  ! title : Nước xả vải Junco 800ml Xanh Dương ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước xả vải Junco 800ml Đen",6531,,JUNC83,,48000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-xa-vai-Junco-800ml-DEN.jpg ! alt :  ! title : Nước xả vải Junco 800ml DEN ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước xả vải Junco Hồng 800ml",6532,,JUNT4,,45000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/XA-800h.jpg ! alt :  ! title : XA 800h ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Kem đánh răng Doreen Trà xanh 200gr",6533,,KDR1,,25000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-danh-rang-Doreen-Tra-xanh-200gr.webp ! alt :  ! title : Kem đánh răng Doreen Trà xanh 200gr ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Kem đánh răng Doreen Xanh Ngọc 200gr",6534,,KDR7,,18000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/kdr-XN.jpg ! alt :  ! title : kdr XN ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Kem đánh răng Doreen Tinh thể Băng 180g",6535,,KDR8,,25000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/ttb-1.jpg ! alt :  ! title : ttb ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước rửa chén Campax Chanh 400ml",6536,,RC1,,13700,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/rc400.jpg ! alt :  ! title : rc400 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Nước rửa chén Campax Chanh 750ml",6537,,RC3,,23100,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/rc400-1.jpg ! alt :  ! title : rc400 ! desc :  ! caption : ",simple,,"Chăm sóc gia đình",,,,,,,,,,
"Sữa Rửa Mặt Bio-essence Vàng 24K Ngăn Ngừa Lão Hoá 100g Bio-gold Radiance Cleanser",6538,,3921018,,147000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Bio-Gold.jpg ! alt :  ! title : Sữa Rửa Mặt Bio Gold.... ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Gold-2.jpg ! alt :  ! title : 金萃煥膚潔面霜EDM ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Gold-3.jpg ! alt :  ! title : 金萃煥膚潔面霜EDM ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Gold-4.jpg ! alt :  ! title : Sửa Rửa Mặt Gold 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Gold-5.jpg ! alt :  ! title : Sửa Rửa Mặt Gold 5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Gold.jpg ! alt :  ! title : 金萃煥膚潔面霜EDM ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Sữa Rửa Mặt Bio-essence Cho Da Dầu & Hỗn Hợp 100g Bio-Essence Renew Foamy Cleanser",6539,,3921020,,157000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/SUA-RUA-MAT-DA-DAU.jpg ! alt :  ! title : SỬA RỬA MẶT DA DẦU ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-da-dau-1.webp ! alt :  ! title : SRM da dầu 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-Da-dau-4.jpeg ! alt :  ! title : SRM Da dau 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-da-dau.png ! alt :  ! title : SRM da dầu ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Sữa Rửa Mặt Bio-essence Từ Sữa Ong Chúa Cho Da Khô 100g Bio-Essence Renew Deep Cleanser",6540,,3921021,,157000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/SUA-RUA-MA-DA-KHO.png ! alt :  ! title : SỬA RỬA MẶ DA KHÔ ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-da-kho-1.png ! alt :  ! title : SRM da khô 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-da-kho-3.jpg ! alt :  ! title : SRM da kho 3 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Gel Tẩy Tế Bào Chết Bio-essence Dưỡng Da Tươi Trẻ 60g Bio-Essence Renew Exfoliating Gel",6541,,3921022,,279000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tay-TBC.png ! alt :  ! title : Tẩy TBC ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-TBC-1.jpeg ! alt :  ! title : Tay TBC 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-TBC-1.png ! alt :  ! title : Tẩy TBC 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-TBC-3.jpeg ! alt :  ! title : Tay TBC 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tay-TBC-4.jpg ! alt :  ! title : tay TBC 4 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Sữa Rửa Mặt Bio-essence Dưỡng Da Tươi Sáng Căng Mọng 100g Bio Bird’s Nest Collagen Cleanser",6542,,3921024,,160000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-mat-Birds-Nest-1.jpg ! alt :  ! title : Sửa Rửa mặt Bird's Nest 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-birds.jpg ! alt :  ! title : SRM bird's ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Bidrs-Nest.jpg ! alt :  ! title : Sửa Rửa Mặt Bidr's Nest ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Birds-Nest-2.jpg ! alt :  ! title : Sửa Rửa Mặt Bird's Nest 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Bidrs-Nest-1.jpg ! alt :  ! title : Sửa Rửa Mặt Bidr's Nest ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-birds-Copy.jpg ! alt :  ! title : SRM bird's - Copy ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Sữa Rửa Mặt Bio-essence Tạo Bọt Cấp Ẩm Làm Dịu Da 100g Bio Water B5 Foamy Cleanser",6543,,3921026,,148000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Water-B5.jpg ! alt :  ! title : Sửa Rữa Mặt Water B5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-B5-1.webp ! alt :  ! title : SRM B5 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-B5-2.webp ! alt :  ! title : SRM B5 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-B5-3.jpg ! alt :  ! title : SRM B5 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/SRM-B5-30G.jpg ! alt :  ! title : SRM B5 30G ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
